KODE,NAMA_BAHAN,KATEGORI,SUMBER,AIR_g,ENERGI_kal,PROTEIN_g,LEMAK_g,KH_g,SERAT_g,ABU_g,KALSIUM_mg,FOSFOR_mg,BESI_mg,NATRIUM_mg,KALIUM_mg,TEMBAGA_mg,SENG_mg,RETINOL_mcg,BKAROTEN_mcg,KARTOTAL_mcg,THIAMIN_mg,RIBOFLAVIN_mg,NIASIN_mg,VIT_C_mg,BDD_pct
AP097,Pulut,Serealia,KZGMI-2001,49.1,216,2.6,3.1,44.4,,,0.8,,,3.8,,,0.40,,0,,,,,,
AP098,Pundut nasi,Serealia,KZGMI-2001,77.8,104,1.9,4.1,15.1,0.4,,1.1,,,1.5,,,0.00,,,,,,,,
AP099,Putri hijau,Serealia,KGZMI-2001,54.8,189,5.4,2.1,37.2,,,0.5,,,,,,,,,,,,,,
AP100,Putri selat,Serealia,KZGMI-2001,66.6,163,2.2,6.5,23.8,,,0.9,,,4.0,,,,,0,,,,,,
AP101,Putu sopa,Serealia,KZGMI-2001,50.7,215,3.3,4.1,41.1,,,0.8,,,,,,,,,,,,,,
AP102,Renggi goreng,Serealia,KZGMI-2001,8.8,471,4.7,21.8,64.1,6.4,,0.6,,,1.1,,,0.90,,0,,,,,0.05,
AP103,Roti boong,Serealia,KZGMI-2001,34.0,341,5.5,16.2,43.3,,,1.0,,,1.1,,,,,,,,,,0.30,
AP104,Roti warna sawo matang,Serealia,DABM-1964,40.0,249,7.9,1.5,49.7,,,0.9,,,2.5,,,,,0,,,,,,
AP105,Sarimuka,Serealia,KZGMI-2001,61.5,166,2.3,2.8,32.9,,,0.5,,,2.0,,,0.00,,,,,,,,
AP106,Spaghetti,Serealia,KZGMS-1993,66.1,139,7.4,2.1,22.6,,,2.1,,,4.7,,,,,42,,,,,,
AP107,Srikaya ketan,Serealia,KZGMI-2001,41.0,265,2.7,6.4,49.1,,,0.8,,,,,,,,,,,,,,
AP108,Sunduk lawang,Serealia,KZGMI-2001,63.4,181,1.9,1.3,32.4,,,1.0,,,,,,,,,,,,,,
AP109,Suwir-suwir,Serealia,KZGPI- 1990,13.4,347,0.5,0.9,84.2,0.8,,1.0,,,4.3,,,,,1,,,,,,
AP110,Tipa-tipa,Serealia,KZGPI- 1990,11.3,355,6.2,1.2,79.8,1.3,,1.5,,,1.6,,,,,0,,,,,0.04,
AP111,Wajit camilan,Serealia,KZGPI- 1990,27.1,303,6.3,2.7,63.3,6.9,,0.6,,,5.5,,,,,0,,,,,,
AP112,Widaran,Serealia,KZGPI- 1990,7.0,424,1.3,10.7,80.7,0.2,,0.3,,,2.5,,,,,21,,,,,0.20,
AP113,Wingko babat,Serealia,KZGPI- 1990,29.7,355,3.2,15.1,51.4,2.4,,0.7,,,1.1,,,,,0,,,,,0.08,
AP114,Yangko,Serealia,KZGPI- 1990,37.4,254,3.0,1.1,58.1,0.8,,0.4,,,2.6,,,,,0,,,,,,
BR001,"Arrowroot, segar",Umbi Berpati,KZGPI- 1990,73.5,102,1.0,0.2,24.1,1.7,1.2,28,35,1.7,,36,,,0.8,15,0.0,0.06,0.10,2.3,2,
BR002,"Batatas gembili, segar",Umbi Berpati,KZGMI-2001,76.7,76,1.1,0.9,16.0,4.2,0.7,0,40,0.2,,10,,,0.3,0,0.0,0.06,0.00,0.9,0,
BR003,"Batatas kelapa, ubi, segar",Umbi Berpati,KZGMI-2001,76.1,89,1.1,0.1,21.0,4.0,0.7,0,40,0.2,,20,,,0.2,0,0.0,0.38,0.00,0.9,0,
BR004,"Belitung, talas, segar",Umbi Berpati,KZGPI- 1990,63.1,145,1.2,0.4,34.2,1.5,1.1,26,54,1.4,,6,,,0.9,0,0.0,0.10,0.10,2.3,2,
BR005,"Bengkuang, segar",Umbi Berpati,DABM- 1964,85.1,59,1.4,0.2,12.8,1.0,0.5,15,18,0.6,,2,,,0.3,0,,0.04,0.10,0.2,20,
BR006,"Bentul (Komba), talas, segar",Umbi Berpati,KZGPI- 1990,75.8,98,1.6,0.7,20.9,0.7,1.8,44,66,1.5,,,,,0.6,0,0.0,0.02,0.10,0.8,0,
BR007,"Gadeng/Gadung, kering",Umbi Berpati,KZGMI-2001,20.2,322,2.4,0.6,76.6,,0.2,39,22,2.2,,5,,,0.2,0,0.0,0.45,0.02,1.0,0,
BR008,"Gadung, ubi, segar",Umbi Berpati,KZGPI- 1990,74.4,100,0.9,0.3,23.5,2.1,0.9,79,66,0.9,,8,,,0.2,0,0.0,0.23,0.00,0.5,2,
BR009,"Ganyong, segar",Umbi Berpati,KZGPI- 1990,79.9,77,0.6,0.2,18.4,0.8,0.9,15,67,1.0,,,,,,0,0.0,0.10,,,9,
BR010,"Gembili, ubi, segar",Umbi Berpati,KZGPI- 1990,66.4,131,1.1,0.2,31.3,1.1,1.0,14,56,0.6,,10,,,0.3,0,0.0,0.08,0.00,0.9,4,
BR011,"Hofa/Ubi hutan, segar",Umbi Berpati,KZGMI-2001,67.9,127,1.2,0.5,29.5,3.4,0.9,30,8,0.7,,3,,,0.2,0,0.0,0.30,0.05,0.6,0,
BR012,"Kaburan, ubi, segar",Umbi Berpati,KZGPI- 1990,66.5,133,1.0,0.2,32.2,0.7,0.5,65,50,0.6,,10,,,0.2,0,0.0,0.01,0.00,0.3,0,
BR013,"Kentang, segar",Umbi Berpati,KZGPI- 1990,83.4,62,2.1,0.2,13.5,0.5,0.8,63,58,0.7,,7,,,0.3,0,0.0,0.09,0.10,1.0,21,
BR014,"Kentang hitam, segar",Umbi Berpati,DABM- 1964,64.0,142,0.9,0.4,33.7,5.4,1.0,34,75,0.2,,22,,,0.6,0,,0.02,0.10,2.2,38,
BR015,"Keribang, ubi, segar",Umbi Berpati,KZGPI- 1990,67.0,137,1.3,1.1,29.8,0.6,0.8,45,56,0.8,,10,,,0.3,0,0.0,0.00,0.00,0.7,0,
BR016,"Ketela pohon/ singkong, segar",Umbi Berpati,KZGPI- 1990,61.4,154,1.0,0.3,36.8,0.9,0.5,77,24,1.1,,2,,,0.4,0,0.0,0.06,0.10,0.5,31,
BR017,Lepok/Ubi rumput,Umbi Berpati,KZGMI-2001,55.3,181,2.8,1.2,39.8,10.7,0.9,7,50,3.1,,116,,,0.9,0,0.0,0.28,0.05,1.5,0,
BR018,"Sagu aren, kering",Umbi Berpati,KZGPI- 1990,11.9,355,0.6,1.1,85.6,0.3,0.8,91,167,2.2,,2,,,0.3,,0.0,0.04,0.10,0.5,0,
BR019,"Sagu aren, segar",Umbi Berpati,KZGMI-2001,42.5,231,0.6,0.2,56.6,3.2,0.1,20,20,0.1,,7,,,0.1,,0.0,0.20,0.00,0.0,0,
BR020,Sagu kasbi segar,Umbi Berpati,KZGMI-2001,42.5,230,0.6,0.2,56.5,3.0,0.2,20,1,0.3,,100,,,0.2,0,0.0,0.10,0.00,0.0,0,
BR021,Sagu lempeng,Umbi Berpati,KZGMI-2001,13.5,347,0.9,0.3,85.2,4.7,0.1,30,30,0.2,,11,,,0.1,0,,0.30,0.00,0.0,0,
BR022,"Sagu singkong, kering",Umbi Berpati,DABM- 1964,12.0,362,0.5,0.3,86.9,,0.3,0,0,0.0,,,,,,0,0.0,0.00,,,0,
